47,x_avt,,x_avt,
20,475,0,525,0
40,475,0,525,0
60,475,0,525,0
80,475,0,525,0
100,475,0,525,0
120,475,0,525,0
140,475,0,525,0
160,475,0,525,0
180,475,0,525,0
200,475,0,525,0
220,475,0,525,0
240,475,0,525,0
260,475,0,525,0
280,475,0,525,0
300,475,0,525,0
320,475,0,525,0
340,475,0,525,0
360,475,0,525,0
380,475,0,525,0
400,475,0,525,0
420,475,0,525,0
440,475,0,525,0
460,475,0,525,0
480,475,0,525,0
500,475,0,525,0
520,475,0,525,0
540,475,0,525,0
560,475,0,525,0
580,475,0,525,0
600,475,0,525,0
620,475,0,525,0
640,475,0,525,0
660,475,0,525,0
680,475,0,525,0
700,475,0,525,0
720,475,0,525,0
740,475,0,525,0
760,475,0,525,0
780,475,0,525,0
800,475,0,525,0
820,475,0,525,0
840,475,0,525,0
860,475,0,525,0
880,475,0,525,0
900,475,0,525,0
920,475,0,525,0
940,475,0,525,0
960,475,0,525,0
980,475,0,525,0
1000,475,0,525,0
1020,475,0,525,0
1040,475,0,525,0
1060,475,0,525,0
1080,475,0,525,0
1100,475,0,525,0
1120,475,0,525,0
1140,475,0,525,0
1160,475,0,525,0
1180,475,0,525,0
1200,475,0,525,0
1220,475,0,525,0
1240,475,0,525,0
1260,475,0,525,0
1280,475,0,525,0
1300,475,0,525,0
1320,475,0,525,0
1340,475,0,525,0
1360,475,0,525,0
1380,475,0,525,0
1400,475,0,525,0
1420,475,0,525,0
1440,475,0,525,0
1460,475,0,525,0
1480,475,0,525,0
1500,475,0,525,0
1520,475,0,525,0
1540,475,0,525,0
1560,475,0,525,0
1580,475,0,525,0
1600,475,0,525,0
1620,475,0,525,0
1640,475,0,525,0
1660,475,0,525,0
1680,475,0,525,0
1700,472,0,525,0
1720,469,0,525,0
1740,466,0,525,0
1760,463,0,525,0
1780,460,0,525,0
1800,457,0,525,0
1820,454,0,525,0
1840,451,0,525,0
1860,448,0,525,0
1880,445,0,525,0
1900,442,0,525,0
1920,440,0,525,0
1940,437,0,525,0
1960,434,0,525,0
1980,431,0,525,0
2000,428,0,525,0
2020,425,0,525,0
2040,422,0,525,0
2060,419,0,525,0
2080,416,0,525,0
2100,412,0,525,0
2120,406,0,525,0
2140,398,0,525,0
2160,391,0,525,0
2180,384,0,525,0
2200,376,0,520,0
2220,371,0,514,0
2240,369,0,509,0
2260,367,0,504,0
2280,366,0,499,0
2300,365,0,494,0
2320,363,0,489,0
2340,363,0,484,0
2360,363,0,479,0
2380,363,0,473,0
2400,363,0,470,0
2420,364,0,468,0
2440,364,0,465,0
2460,364,0,462,0
2480,364,0,459,0
2500,364,0,457,0
2520,364,0,454,0
2540,364,0,452,0
2560,366,0,449,0
2580,368,0,447,0
2600,370,0,445,0
2620,372,0,442,0
2640,373,0,440,0
2660,374,0,437,0
2680,373,0,435,0
2700,371,0,432,0
2720,370,0,430,0
2740,369,0,427,0
2760,367,0,425,0
2780,366,0,422,0
2800,363,0,418,0
2820,359,0,415,0
2840,356,0,411,0
2860,353,0,407,0
2880,350,0,403,0
2900,346,0,399,0
2920,343,0,396,0
2940,340,0,396,0
2960,337,0,395,0
2980,333,0,394,0
3000,330,0,393,0
3020,327,0,393,0
3040,324,0,392,0
3060,320,0,391,0
3080,317,0,390,0
3100,314,0,389,0
3120,311,0,389,0
3140,307,0,388,0
3160,304,0,387,0
3180,301,0,386,0
3200,298,0,384,0
3220,294,0,381,0
3240,287,0,378,0
3260,281,0,376,0
3280,274,0,373,0
3300,268,0,371,0
3320,261,0,368,0
3340,254,0,367,0
3360,250,0,366,0
3380,247,0,365,0
3400,245,0,364,0
3420,243,0,363,0
3440,241,0,362,0
3460,239,0,360,0
3480,237,0,359,0
3500,236,0,358,0
3520,236,0,356,0
3540,236,0,355,0
3560,236,0,353,0
3580,235,0,351,0
3600,235,0,350,0
3620,235,0,349,0
3640,235,0,347,0
3660,235,0,346,0
3680,234,0,345,0
3700,234,0,344,0
3720,233,0,343,0
3740,232,0,342,0
3760,231,0,342,0
3780,230,0,341,0
3800,228,0,340,0
3820,226,0,340,0
3840,225,0,340,0
3860,223,0,340,0
3880,221,0,340,0
3900,219,0,339,0
3920,217,0,339,0
3940,216,0,339,0
3960,213,0,339,0
3980,211,0,339,0
4000,208,0,339,0
4020,206,0,339,0
4040,203,0,338,0
4060,201,0,338,0
4080,198,0,338,0
4100,196,0,337,0
4120,194,0,337,0
4140,192,0,336,0
4160,190,0,336,0
4180,188,0,336,0
4200,186,0,336,0
4220,184,0,336,0
4240,183,0,335,0
4260,181,0,335,0
4280,180,0,334,0
4300,178,0,334,0
4320,177,0,333,0
4340,176,0,332,0
4360,175,0,331,0
4380,175,0,330,0
4400,174,0,329,0
4420,174,0,328,0
4440,174,0,328,0
4460,175,0,328,0
4480,175,0,328,0
4500,175,0,328,0
4520,176,0,328,0
4540,176,0,328,0
4560,176,0,329,0
4580,177,0,329,0
4600,177,0,330,0
4620,177,0,330,0
4640,178,0,330,0
4660,178,0,330,0
4680,179,0,330,0
4700,179,0,330,0
4720,179,0,331,0
4740,180,0,331,0
4760,180,0,332,0
4780,181,0,332,0
4800,182,0,333,0
4820,182,0,334,0
4840,182,0,335,0
4860,182,0,337,0
4880,182,0,338,0
4900,182,0,339,0
4920,182,0,340,0
4940,182,0,341,0
4960,183,0,343,0
4980,184,0,344,0
5000,185,0,345,0
5020,186,0,346,0
5040,187,0,348,0
5060,188,0,349,0
5080,190,0,350,0
5100,191,0,351,0
5120,193,0,352,0
5140,195,0,354,0
5160,196,0,355,0
5180,198,0,356,0
5200,200,0,360,0
5220,202,0,364,0
5240,205,0,368,0
